Date,Price,Open,High,Low,Vol.,Change %
9-Oct-19,98.815,98.78,98.865,98.595,11.27K,-0.01%
8-Oct-19,98.822,98.665,98.955,98.54,13.92K,0.16%
7-Oct-19,98.665,98.52,98.705,98.425,9.10K,0.18%
4-Oct-19,98.488,98.56,98.69,98.34,10.91K,-0.05%
3-Oct-19,98.54,98.69,98.875,98.3,17.38K,-0.15%
2-Oct-19,98.689,98.795,99.08,98.62,13.66K,-0.09%
1-Oct-19,98.777,99.035,99.305,98.705,23.62K,-0.25%
30-Sep-19,99.021,98.77,99.115,98.71,13.81K,0.26%
27-Sep-19,98.761,98.805,98.955,98.63,10.39K,0.00%
26-Sep-19,98.765,98.595,98.915,98.45,13.50K,0.11%
25-Sep-19,98.659,97.99,98.69,97.965,17.35K,0.75%
24-Sep-19,97.927,98.275,98.32,97.88,14.59K,-0.30%
23-Sep-19,98.221,98.145,98.455,98.07,13.35K,0.09%
20-Sep-19,98.136,97.935,98.25,97.735,13.51K,0.30%
19-Sep-19,97.847,98.15,98.21,97.775,12.90K,-0.29%
18-Sep-19,98.134,97.75,98.27,97.75,14.07K,0.32%
17-Sep-19,97.819,98.22,98.29,97.735,12.69K,-0.82%
16-Sep-19,98.627,98.1,98.5,98.055,0.32K,0.38%
13-Sep-19,98.255,98.42,98.435,98,8.35K,-0.05%
12-Sep-19,98.308,98.62,99.105,98.19,26.09K,-0.32%
11-Sep-19,98.628,98.305,98.73,98.28,28.56K,0.33%
10-Sep-19,98.307,98.3,98.44,98.135,14.07K,0.06%
9-Sep-19,98.248,98.39,98.475,98.105,30.45K,-0.12%
6-Sep-19,98.362,98.4,98.48,98.14,22.16K,-0.02%
5-Sep-19,98.382,98.35,98.515,98.035,16.28K,-0.01%
4-Sep-19,98.393,98.89,98.915,98.34,18.92K,-0.56%
3-Sep-19,98.949,99.01,99.33,98.865,21.30K,0.09%
2-Sep-19,98.86,98.795,99.085,98.715,8.33K,0.00%
30-Aug-19,98.86,98.355,98.97,98.345,19.95K,0.41%
29-Aug-19,98.455,98.135,98.485,98.1,19.95K,0.34%
28-Aug-19,98.12,97.94,98.18,97.92,10.40K,0.22%
27-Aug-19,97.907,97.915,97.96,97.765,9.70K,-0.08%
26-Aug-19,97.989,97.46,97.995,97.37,18.90K,0.47%
23-Aug-19,97.53,98.095,98.455,97.455,29.65K,-0.54%
22-Aug-19,98.064,98.155,98.29,97.965,13.48K,-0.12%
21-Aug-19,98.179,98.075,98.225,98,8.81K,0.12%
20-Aug-19,98.063,98.24,98.335,97.99,11.52K,-0.16%
19-Aug-19,98.221,98.06,98.27,98.005,9.29K,0.22%
16-Aug-19,98.007,98.005,98.205,97.965,10.74K,0.00%
15-Aug-19,98.005,97.815,98.095,97.68,17.08K,0.18%
14-Aug-19,97.826,97.61,97.895,97.5,15.21K,0.20%
13-Aug-19,97.631,97.22,97.69,97.125,27.58K,0.45%
12-Aug-19,97.198,97.37,97.55,97.13,13.13K,-0.13%
9-Aug-19,97.322,97.405,97.465,97.175,15.80K,-0.11%
8-Aug-19,97.434,97.42,97.565,97.215,16.65K,0.09%
7-Aug-19,97.345,97.37,97.535,97.115,15.77K,-0.07%
6-Aug-19,97.417,97.08,97.565,96.98,20.26K,0.11%
5-Aug-19,97.308,97.9,97.93,97.19,26.78K,-0.56%
